education,employment,annual_income,loan_amount,loan_term,cibil_score,loan_status
 Graduate, Yes,600000,1700000,4,576, Approved
 Graduate, No,600000,1200000,14,443, Rejected
 Graduate, Yes,9500000,21700000,16,307, Rejected
 Graduate, Yes,1900000,4800000,12,656, Approved
 Graduate, Yes,9800000,21200000,4,885, Approved
 Graduate, No,7800000,16600000,20,896, Approved
 Not Graduate, No,4900000,14100000,2,802, Approved
 Graduate, Yes,8300000,22700000,2,650, Approved
 Not Graduate, Yes,3900000,8900000,10,665, Approved
 Graduate, No,9000000,35700000,12,339, Rejected
 Not Graduate, No,9600000,32400000,20,447, Rejected
 Not Graduate, Yes,1000000,2400000,18,613, Approved
 Graduate, No,2800000,7200000,16,424, Rejected
 Not Graduate, No,8300000,20800000,6,667, Approved
 Not Graduate, Yes,6900000,18300000,18,715, Approved
 Not Graduate, Yes,3800000,9100000,18,654, Approved
 Not Graduate, No,8000000,17800000,20,549, Rejected
 Graduate, Yes,9800000,29700000,4,373, Approved
 Graduate, Yes,2900000,7200000,16,332, Rejected
 Graduate, No,7900000,31500000,20,534, Rejected
 Not Graduate, No,4600000,17900000,8,396, Rejected
 Graduate, No,1000000,3700000,18,892, Approved
 Graduate, No,9000000,21300000,14,602, Approved
 Graduate, Yes,9400000,36100000,10,615, Approved
 Graduate, Yes,7400000,23300000,20,482, Rejected
 Graduate, No,6600000,20100000,16,397, Rejected
 Not Graduate, No,1300000,3400000,10,464, Rejected
 Graduate, Yes,1100000,3400000,14,832, Approved
 Graduate, No,9200000,34800000,12,802, Approved
 Graduate, No,7000000,23900000,18,628, Approved
 Graduate, No,5100000,18800000,10,694, Approved
 Not Graduate, Yes,3200000,9300000,20,741, Approved
 Not Graduate, Yes,3700000,10900000,14,748, Approved
 Graduate, No,3600000,12800000,4,320, Approved
 Graduate, No,5600000,11700000,10,774, Approved
 Not Graduate, Yes,9500000,32000000,2,500, Approved
 Not Graduate, No,1500000,4000000,18,706, Approved
 Not Graduate, No,7400000,18300000,10,601, Approved
 Graduate, No,6000000,17400000,16,806, Approved
 Graduate, Yes,3000000,9600000,6,644, Approved
 Graduate, Yes,6000000,12900000,14,723, Approved
 Graduate, Yes,600000,1500000,12,509, Rejected
 Graduate, No,1800000,6600000,4,898, Approved
 Graduate, Yes,5500000,12000000,2,567, Approved
 Graduate, No,1000000,2100000,6,715, Approved
 Not Graduate, Yes,1700000,3500000,10,854, Approved
 Graduate, Yes,3400000,12300000,8,523, Rejected
 Graduate, Yes,9600000,35900000,8,534, Rejected
 Not Graduate, Yes,2600000,7600000,18,470, Rejected
 Graduate, No,1600000,3500000,18,619, Approved
 Graduate, Yes,4300000,12800000,20,572, Approved
 Graduate, No,1400000,3500000,16,365, Rejected
 Not Graduate, No,8000000,18000000,16,791, Approved
 Not Graduate, Yes,5000000,18100000,12,424, Rejected
 Graduate, No,4500000,10200000,12,726, Approved
 Graduate, No,3400000,9900000,2,736, Approved
 Graduate, Yes,5700000,12800000,14,488, Rejected
 Not Graduate, Yes,2600000,7600000,10,400, Rejected
 Graduate, Yes,4500000,12200000,20,311, Rejected
 Not Graduate, Yes,5100000,16800000,2,504, Approved
 Not Graduate, Yes,5100000,18600000,20,312, Rejected
 Graduate, Yes,1700000,6500000,14,587, Approved
 Not Graduate, No,5200000,10500000,20,317, Rejected
 Not Graduate, No,8400000,29000000,2,463, Approved
 Not Graduate, Yes,9000000,34000000,16,842, Approved
 Graduate, Yes,3400000,11800000,20,616, Approved
 Not Graduate, No,5400000,19400000,8,800, Approved
 Graduate, Yes,700000,2100000,12,813, Approved
 Graduate, No,7600000,24800000,12,564, Approved
 Not Graduate, No,5000000,14700000,12,837, Approved
 Not Graduate, Yes,2500000,9400000,16,735, Approved
 Not Graduate, Yes,2000000,5200000,16,724, Approved
 Not Graduate, No,9000000,23900000,12,658, Approved
 Graduate, No,8300000,31800000,16,858, Approved
 Not Graduate, Yes,3100000,8500000,8,614, Approved
 Graduate, Yes,8500000,25600000,16,714, Approved
 Graduate, Yes,1200000,4600000,20,605, Approved
 Graduate, Yes,2800000,5500000,8,875, Approved
 Graduate, Yes,2800000,10900000,6,359, Rejected
 Graduate, Yes,6500000,24100000,6,441, Rejected
 Graduate, No,8700000,25200000,18,790, Approved
 Not Graduate, Yes,5400000,13600000,4,821, Approved
 Not Graduate, No,8600000,33300000,16,375, Rejected
 Graduate, No,4700000,9600000,10,545, Rejected
 Not Graduate, Yes,1100000,3900000,4,891, Approved
 Graduate, No,6400000,14000000,8,486, Rejected
 Graduate, No,4300000,9900000,4,696, Approved
 Not Graduate, Yes,2900000,11100000,4,683, Approved
 Not Graduate, No,9600000,27100000,8,594, Approved
 Not Graduate, Yes,900000,2500000,20,529, Rejected
 Not Graduate, No,8100000,26300000,4,429, Approved
 Not Graduate, Yes,8800000,25000000,4,400, Rejected
 Graduate, No,8800000,17500000,4,848, Approved
 Not Graduate, No,6400000,21500000,6,489, Rejected
 Graduate, No,2900000,6600000,10,326, Rejected
 Graduate, No,1600000,6100000,8,663, Approved
 Not Graduate, No,1600000,5100000,18,729, Approved
 Graduate, Yes,3100000,10700000,4,398, Approved
 Not Graduate, Yes,5600000,16700000,14,856, Approved
 Graduate, Yes,8100000,19900000,20,347, Rejected
 Not Graduate, No,9100000,19300000,12,696, Approved
 Graduate, Yes,5500000,17100000,8,353, Rejected
 Graduate, Yes,9700000,34300000,20,756, Approved
 Graduate, No,2300000,5400000,16,490, Rejected
 Not Graduate, Yes,5600000,18000000,10,531, Rejected
 Not Graduate, Yes,4500000,16600000,4,679, Approved
 Graduate, Yes,500000,1800000,8,877, Approved
 Graduate, No,4200000,11000000,20,817, Approved
 Not Graduate, No,9100000,23300000,18,792, Approved
 Graduate, Yes,3200000,12800000,18,664, Approved
 Graduate, Yes,6200000,21300000,16,882, Approved
 Not Graduate, Yes,2500000,7700000,10,768, Approved
 Graduate, No,9100000,27100000,12,787, Approved
 Graduate, Yes,500000,900000,12,538, Rejected
 Not Graduate, No,6900000,18000000,8,347, Rejected
 Graduate, Yes,1800000,5200000,16,317, Rejected
 Graduate, Yes,4000000,14500000,2,713, Approved
 Not Graduate, No,3900000,12300000,10,683, Approved
 Not Graduate, Yes,8000000,28100000,18,765, Approved
 Graduate, No,900000,3200000,10,803, Approved
 Graduate, Yes,8200000,29700000,6,405, Rejected
 Graduate, No,2300000,4900000,4,529, Rejected
 Graduate, Yes,6900000,19400000,6,801, Approved
 Not Graduate, No,8800000,30700000,12,707, Approved
 Graduate, No,2600000,7200000,8,349, Rejected
 Graduate, No,3700000,8700000,20,885, Approved
 Graduate, Yes,6200000,23800000,4,489, Approved
 Graduate, Yes,1000000,2600000,6,341, Rejected
 Not Graduate, No,6000000,20000000,12,637, Approved
 Not Graduate, Yes,9100000,31400000,4,304, Approved
 Graduate, No,1700000,6700000,16,537, Rejected
 Not Graduate, Yes,1700000,4600000,12,503, Rejected
 Graduate, No,7100000,14300000,12,720, Approved
 Graduate, No,9400000,36800000,10,509, Rejected
 Not Graduate, No,6200000,16400000,6,360, Rejected
 Graduate, No,8300000,31800000,16,818, Approved
 Graduate, Yes,8900000,21200000,8,716, Approved
 Graduate, Yes,6500000,14800000,12,360, Rejected
 Graduate, Yes,8100000,26700000,10,895, Approved
 Not Graduate, No,4900000,13500000,8,328, Rejected
 Graduate, No,9100000,26600000,2,812, Approved
 Graduate, Yes,9000000,33100000,16,456, Rejected
 Graduate, Yes,1300000,3900000,16,566, Approved
 Not Graduate, No,6700000,25000000,20,598, Approved
 Not Graduate, No,3200000,9300000,6,656, Approved
 Not Graduate, No,7500000,28700000,2,895, Approved
 Graduate, No,4900000,12800000,14,653, Approved
 Not Graduate, Yes,700000,1800000,16,641, Approved
 Graduate, No,6400000,16500000,8,544, Rejected
 Not Graduate, Yes,3900000,14100000,20,811, Approved
 Graduate, No,9700000,26900000,10,460, Rejected
 Graduate, Yes,3600000,12500000,12,795, Approved
 Graduate, Yes,3400000,10300000,4,745, Approved
 Not Graduate, No,9800000,20100000,16,606, Approved
 Not Graduate, No,5100000,14200000,6,451, Rejected
 Graduate, Yes,5900000,11800000,8,479, Rejected
 Graduate, No,1200000,2400000,14,495, Rejected
 Not Graduate, No,9700000,30200000,14,769, Approved
 Not Graduate, Yes,4700000,11800000,4,639, Approved
 Graduate, No,4200000,12500000,18,723, Approved
 Graduate, No,9300000,26100000,16,623, Approved
 Not Graduate, Yes,5300000,20800000,6,487, Rejected
 Graduate, No,7600000,30100000,2,743, Approved
 Graduate, No,6200000,16900000,12,754, Approved
 Graduate, No,8900000,21600000,10,552, Approved
 Not Graduate, Yes,7900000,27300000,10,560, Approved
 Graduate, Yes,3500000,10800000,14,632, Approved
 Graduate, No,5300000,16700000,18,339, Rejected
 Not Graduate, No,1400000,3100000,4,881, Approved
 Not Graduate, Yes,9100000,23600000,20,535, Rejected
 Not Graduate, No,4400000,17200000,4,563, Approved
 Not Graduate, No,2800000,8200000,14,615, Approved
 Not Graduate, No,1300000,3300000,8,795, Approved
 Graduate, No,8400000,28700000,14,878, Approved
 Graduate, Yes,5300000,14000000,6,633, Approved
 Graduate, No,6000000,13900000,4,533, Rejected
 Not Graduate, Yes,2100000,6800000,12,795, Approved
 Not Graduate, No,4300000,11000000,4,374, Rejected
 Not Graduate, Yes,7300000,22900000,12,848, Approved
 Graduate, No,5200000,16200000,12,890, Approved
 Graduate, No,4700000,9800000,14,444, Rejected
 Graduate, No,7800000,28500000,4,803, Approved
 Graduate, Yes,500000,1900000,18,618, Approved
 Not Graduate, Yes,6000000,20300000,14,845, Approved
 Graduate, No,4800000,10800000,12,833, Approved
 Graduate, Yes,8900000,19300000,12,767, Approved
 Graduate, Yes,1800000,4000000,16,747, Approved
 Graduate, No,3000000,7000000,4,588, Approved
 Not Graduate, No,7700000,24500000,20,582, Approved
 Not Graduate, No,8300000,20400000,14,348, Rejected
 Not Graduate, No,4200000,9400000,4,726, Approved
 Graduate, Yes,8000000,31200000,6,482, Rejected
 Graduate, Yes,9400000,30000000,16,565, Approved
 Graduate, No,800000,2400000,16,872, Approved
 Graduate, Yes,500000,1300000,4,825, Approved
 Graduate, Yes,6100000,22300000,8,694, Approved
 Graduate, Yes,8500000,30800000,20,448, Rejected
 Graduate, Yes,7600000,18000000,12,452, Rejected
 Not Graduate, No,8700000,17900000,12,897, Approved
 Not Graduate, No,9400000,20200000,10,803, Approved
 Not Graduate, Yes,400000,900000,8,828, Approved
 Graduate, No,2700000,7500000,6,832, Approved
 Not Graduate, Yes,2300000,5500000,6,861, Approved
 Graduate, No,7500000,15900000,2,535, Rejected
 Not Graduate, Yes,7100000,19400000,16,363, Rejected
 Not Graduate, Yes,8800000,28600000,8,631, Approved
 Not Graduate, No,8400000,20700000,6,513, Rejected
 Graduate, Yes,4700000,16200000,16,317, Rejected
 Graduate, No,6900000,19500000,2,809, Approved
 Not Graduate, No,2400000,8200000,10,531, Rejected
 Not Graduate, Yes,1600000,4800000,14,544, Rejected
 Graduate, No,3500000,7800000,14,366, Rejected
 Not Graduate, No,3700000,12700000,14,797, Approved
 Not Graduate, No,3200000,12000000,16,597, Approved
 Not Graduate, Yes,7000000,22500000,12,632, Approved
 Not Graduate, No,9300000,28300000,12,741, Approved
 Not Graduate, No,200000,800000,20,331, Rejected
 Graduate, No,6900000,16500000,8,426, Rejected
 Not Graduate, No,9000000,26500000,8,533, Rejected
 Not Graduate, No,6900000,22700000,16,394, Rejected
 Graduate, No,7500000,25100000,14,877, Approved
 Not Graduate, No,9200000,28000000,8,527, Rejected
 Graduate, No,4600000,12700000,8,468, Rejected
 Graduate, Yes,5000000,19600000,18,611, Approved
 Graduate, No,4500000,17200000,6,832, Approved
 Graduate, No,7900000,22700000,18,508, Rejected
 Not Graduate, No,5100000,13500000,20,840, Approved
 Graduate, No,3700000,7600000,14,794, Approved
 Not Graduate, No,5300000,17800000,12,889, Approved
 Not Graduate, No,200000,500000,16,765, Approved
 Graduate, Yes,9000000,18600000,16,518, Rejected
 Not Graduate, No,6900000,17100000,4,694, Approved
 Not Graduate, No,700000,2300000,8,663, Approved
 Graduate, No,2500000,8900000,2,662, Approved
 Not Graduate, No,4600000,14400000,14,642, Approved
 Graduate, No,1000000,3900000,10,701, Approved
 Not Graduate, Yes,9200000,30100000,6,632, Approved
 Graduate, Yes,2200000,4400000,2,861, Approved
 Graduate, Yes,9700000,33300000,12,784, Approved
 Graduate, Yes,5500000,18200000,4,332, Approved
 Not Graduate, Yes,1300000,3400000,2,763, Approved
 Not Graduate, Yes,7900000,19100000,2,593, Approved
 Not Graduate, No,4300000,8800000,6,512, Rejected
 Not Graduate, No,3800000,13300000,6,655, Approved
 Not Graduate, No,8700000,24700000,8,369, Rejected
 Graduate, No,1300000,3100000,14,348, Rejected
 Not Graduate, Yes,6800000,16800000,10,736, Approved
 Not Graduate, No,9100000,24000000,20,353, Rejected
 Graduate, No,3000000,11300000,16,478, Rejected
 Not Graduate, Yes,1200000,3000000,4,827, Approved
 Not Graduate, Yes,5000000,16900000,12,517, Rejected
 Graduate, Yes,9700000,24700000,18,648, Approved
 Not Graduate, Yes,7000000,23800000,10,689, Approved
 Graduate, No,4100000,9100000,20,550, Approved
 Graduate, Yes,5300000,12900000,20,826, Approved
 Not Graduate, No,7300000,19200000,14,599, Approved
 Graduate, No,6500000,18500000,16,815, Approved
 Graduate, Yes,600000,1400000,4,761, Approved
 Not Graduate, Yes,5200000,15000000,20,432, Rejected
 Not Graduate, Yes,2800000,9200000,18,442, Rejected
 Graduate, Yes,7800000,23300000,6,620, Approved
 Graduate, No,3000000,6500000,4,476, Rejected
 Graduate, No,9300000,34900000,6,837, Approved
 Not Graduate, Yes,5100000,18000000,6,510, Rejected
 Not Graduate, Yes,4300000,16100000,18,849, Approved
 Graduate, No,1100000,2100000,8,737, Approved
 Graduate, No,6500000,16200000,10,809, Approved
 Not Graduate, No,6400000,23000000,8,520, Rejected
 Not Graduate, No,7400000,22500000,16,834, Approved
 Graduate, No,8700000,32100000,8,397, Rejected
 Not Graduate, No,9200000,24700000,14,438, Rejected
 Graduate, Yes,6200000,19700000,18,820, Approved
 Not Graduate, No,1200000,4600000,20,323, Rejected
 Not Graduate, Yes,7000000,20300000,14,837, Approved
 Graduate, Yes,3800000,10100000,2,571, Approved
 Graduate, No,4900000,16300000,14,479, Rejected
 Graduate, Yes,7800000,22100000,6,533, Rejected
 Not Graduate, Yes,7400000,17200000,8,899, Approved
 Not Graduate, No,7000000,26600000,16,460, Rejected
 Not Graduate, No,4900000,12500000,2,636, Approved
 Not Graduate, No,5800000,20600000,20,434, Rejected
 Not Graduate, No,2000000,6900000,18,516, Rejected
 Graduate, No,8300000,24600000,2,382, Rejected
 Graduate, Yes,1000000,2800000,12,616, Approved
 Graduate, No,5500000,11600000,6,745, Approved
 Graduate, No,1400000,3400000,6,697, Approved
 Graduate, No,3700000,12300000,6,364, Rejected
 Not Graduate, Yes,2100000,6900000,2,566, Approved
 Not Graduate, No,6200000,21900000,12,462, Rejected
 Not Graduate, No,9300000,31900000,2,331, Approved
 Not Graduate, Yes,5100000,10300000,12,839, Approved
 Graduate, Yes,7000000,14000000,4,702, Approved
 Graduate, Yes,5300000,17900000,2,580, Approved
 Graduate, No,900000,2800000,10,560, Approved
 Not Graduate, Yes,9400000,25700000,14,845, Approved
 Not Graduate, Yes,2600000,8500000,4,392, Approved
 Graduate, No,1500000,4900000,16,387, Rejected
 Graduate, Yes,1800000,6300000,12,749, Approved
 Graduate, Yes,7800000,20000000,14,727, Approved
 Graduate, Yes,2100000,7400000,14,656, Approved
 Not Graduate, Yes,8300000,17500000,20,643, Approved
 Not Graduate, Yes,4400000,16800000,4,307, Approved
 Not Graduate, No,2300000,5000000,16,588, Approved
 Graduate, Yes,7700000,22300000,20,895, Approved
 Not Graduate, Yes,9300000,29400000,10,351, Rejected
 Not Graduate, No,5900000,16400000,12,891, Approved
 Not Graduate, Yes,1900000,4900000,4,442, Rejected
 Not Graduate, No,6900000,19500000,20,686, Approved
 Graduate, Yes,2100000,8200000,20,432, Rejected
 Not Graduate, No,8200000,20900000,14,766, Approved
 Not Graduate, No,7700000,17200000,6,561, Approved
 Not Graduate, No,7700000,19000000,2,539, Rejected
 Graduate, No,700000,1400000,6,759, Approved
 Graduate, No,7100000,18200000,8,750, Approved
 Graduate, No,3900000,13600000,10,373, Rejected
 Not Graduate, Yes,5200000,20500000,10,407, Rejected
 Not Graduate, No,5500000,20200000,14,611, Approved
 Graduate, No,2600000,6300000,10,783, Approved
 Not Graduate, Yes,7300000,24000000,18,651, Approved
 Graduate, No,8700000,31100000,16,760, Rejected
 Graduate, No,9000000,22700000,16,793, Approved
 Graduate, No,400000,800000,16,685, Approved
 Not Graduate, Yes,3300000,10700000,8,806, Approved
 Not Graduate, No,6300000,17800000,12,770, Approved
 Not Graduate, No,7000000,23600000,14,663, Approved
 Graduate, Yes,2100000,8100000,4,592, Approved
 Not Graduate, No,7600000,26300000,18,580, Approved
 Graduate, No,8200000,17500000,4,609, Approved
 Not Graduate, Yes,9200000,23200000,8,380, Rejected
 Graduate, No,3800000,12100000,20,364, Rejected
 Graduate, No,3200000,8900000,12,866, Approved
 Not Graduate, No,9700000,31700000,10,342, Rejected
 Graduate, No,4700000,14400000,16,884, Approved
 Graduate, Yes,3800000,12500000,18,859, Approved
 Graduate, No,400000,1000000,20,692, Approved
 Not Graduate, Yes,3200000,6800000,16,675, Approved
 Graduate, Yes,3900000,12700000,8,886, Approved
 Graduate, Yes,3500000,13100000,10,477, Rejected
 Graduate, No,2200000,8300000,6,596, Approved
 Not Graduate, No,6400000,19700000,20,400, Rejected
 Graduate, No,9100000,19900000,2,711, Approved
 Not Graduate, Yes,3300000,8900000,2,418, Rejected
 Graduate, No,7800000,21800000,8,517, Rejected
 Not Graduate, Yes,6200000,16200000,6,508, Rejected
 Not Graduate, Yes,7000000,26100000,18,689, Approved
 Graduate, No,9200000,28200000,12,455, Rejected
 Not Graduate, Yes,7500000,20800000,6,617, Approved
 Graduate, No,5300000,13200000,10,500, Rejected
 Not Graduate, Yes,6800000,22800000,14,382, Rejected
 Not Graduate, No,7900000,20800000,18,538, Rejected
 Not Graduate, Yes,6200000,14900000,8,855, Approved
 Graduate, No,1000000,3000000,18,614, Approved
 Graduate, Yes,7800000,25400000,10,513, Rejected
 Graduate, Yes,3000000,8800000,14,402, Rejected
 Graduate, Yes,5700000,15000000,20,819, Approved
 Not Graduate, No,6600000,25400000,12,622, Approved
 Graduate, Yes,7100000,18200000,4,790, Approved
 Graduate, Yes,1300000,4800000,14,808, Approved
 Not Graduate, No,5200000,16800000,18,369, Rejected
 Graduate, No,5600000,20300000,4,330, Approved
 Graduate, No,7100000,16500000,14,857, Approved
 Graduate, No,5100000,19100000,8,457, Rejected
 Not Graduate, Yes,7600000,29300000,8,843, Approved
 Graduate, Yes,2500000,5400000,6,463, Rejected
 Graduate, No,6900000,22800000,16,582, Approved
 Graduate, No,3100000,6500000,2,391, Rejected
 Graduate, Yes,9700000,35100000,20,612, Approved
 Not Graduate, Yes,5800000,12600000,2,859, Approved
 Not Graduate, No,7600000,18600000,18,779, Approved
 Not Graduate, No,700000,2800000,2,561, Approved
 Graduate, No,2300000,5600000,18,420, Rejected
 Not Graduate, No,1600000,3300000,8,609, Approved
 Not Graduate, No,8100000,19300000,14,821, Approved
 Graduate, No,7700000,17100000,14,603, Approved
 Graduate, No,1500000,3400000,10,778, Approved
 Not Graduate, No,7400000,23500000,2,460, Approved
 Not Graduate, Yes,8900000,27100000,18,363, Rejected
 Graduate, No,2400000,5300000,16,482, Rejected
 Graduate, No,5600000,20300000,4,772, Approved
 Graduate, No,5900000,14400000,6,745, Approved
 Graduate, No,1600000,3300000,2,513, Rejected
 Not Graduate, No,1100000,4000000,2,362, Approved
 Graduate, Yes,6600000,25600000,6,740, Approved
 Graduate, No,8900000,24400000,10,774, Approved
 Graduate, Yes,6400000,16400000,20,555, Approved
 Not Graduate, Yes,8200000,17300000,12,588, Approved
 Graduate, No,500000,1300000,14,619, Approved
 Graduate, No,9700000,31600000,18,607, Approved
 Not Graduate, Yes,7100000,16700000,4,435, Rejected
 Not Graduate, Yes,1400000,3400000,14,835, Approved
 Not Graduate, No,7200000,28100000,14,767, Approved
 Graduate, Yes,8400000,26200000,14,643, Approved
 Not Graduate, No,4300000,13900000,2,894, Approved
 Not Graduate, Yes,8800000,29800000,8,343, Rejected
 Not Graduate, No,4000000,15100000,8,800, Approved
 Not Graduate, Yes,6900000,17900000,18,494, Rejected
 Graduate, No,9600000,33000000,14,336, Rejected
 Not Graduate, No,6900000,16500000,16,785, Approved
 Not Graduate, Yes,3600000,13400000,16,732, Approved
 Not Graduate, No,1900000,4600000,12,587, Approved
 Not Graduate, Yes,9700000,30800000,18,471, Rejected
 Not Graduate, No,1200000,4100000,8,497, Rejected
 Not Graduate, No,400000,1600000,16,784, Approved
 Graduate, No,6600000,21500000,18,471, Rejected
 Graduate, No,1500000,3300000,4,763, Approved
 Not Graduate, No,3500000,9500000,2,655, Approved
 Not Graduate, Yes,4000000,8600000,4,667, Approved
 Not Graduate, No,4100000,14100000,8,367, Rejected
 Graduate, No,5800000,18500000,16,436, Rejected
 Graduate, Yes,8600000,23300000,12,785, Approved
 Graduate, No,4500000,11400000,10,388, Rejected
 Graduate, Yes,9900000,37300000,8,385, Rejected
 Not Graduate, Yes,3200000,8100000,10,670, Approved
 Graduate, Yes,8900000,19100000,20,329, Rejected
 Not Graduate, Yes,2100000,4900000,12,651, Approved
 Graduate, No,7100000,26000000,16,727, Approved
 Graduate, Yes,7800000,28900000,14,646, Approved
 Not Graduate, Yes,8600000,23200000,12,894, Approved
 Graduate, Yes,5100000,17000000,10,477, Rejected
 Not Graduate, No,600000,2000000,20,811, Approved
 Graduate, Yes,6600000,21200000,18,377, Rejected
 Not Graduate, Yes,4700000,17000000,18,802, Approved
 Graduate, Yes,7700000,19700000,14,885, Approved
 Graduate, Yes,6400000,21900000,6,437, Rejected
 Graduate, No,1100000,2500000,20,615, Approved
 Not Graduate, No,8900000,17800000,20,603, Approved
 Not Graduate, Yes,2100000,8300000,20,765, Approved
 Not Graduate, Yes,2300000,5800000,8,469, Rejected
 Graduate, No,8300000,17700000,16,848, Approved
 Graduate, No,900000,2700000,20,327, Rejected
 Not Graduate, Yes,9200000,35000000,4,716, Approved
 Graduate, No,9800000,28300000,2,715, Approved
 Not Graduate, No,200000,600000,12,683, Approved
 Not Graduate, Yes,3200000,9700000,6,737, Approved
 Not Graduate, No,7800000,27000000,6,728, Approved
 Graduate, No,8300000,30000000,18,350, Rejected
 Graduate, Yes,2100000,5200000,14,802, Approved
 Not Graduate, Yes,400000,1400000,4,483, Approved
 Graduate, Yes,7700000,21800000,18,684, Approved
 Graduate, Yes,5600000,16500000,20,692, Approved
 Graduate, No,8400000,31000000,4,783, Approved
 Graduate, Yes,1300000,4300000,18,412, Rejected
 Not Graduate, No,8700000,30200000,10,447, Rejected
 Not Graduate, No,2700000,8400000,14,610, Approved
 Graduate, Yes,800000,1800000,8,881, Approved
 Graduate, Yes,3800000,10300000,16,606, Approved
 Graduate, Yes,700000,2600000,2,869, Approved
 Graduate, Yes,400000,1400000,2,496, Approved
 Graduate, Yes,3200000,9300000,6,483, Rejected
 Graduate, No,7500000,22200000,8,741, Approved
 Not Graduate, No,3700000,13500000,4,820, Approved
 Graduate, No,3300000,9100000,18,697, Approved
 Graduate, Yes,200000,500000,20,713, Approved
 Not Graduate, No,7100000,17000000,6,754, Approved
 Not Graduate, Yes,1500000,5100000,14,837, Approved
 Not Graduate, No,3000000,6500000,2,691, Approved
 Graduate, Yes,1900000,5300000,12,436, Rejected
 Not Graduate, No,9100000,30100000,8,322, Rejected
 Not Graduate, No,2200000,7500000,2,333, Approved
 Not Graduate, Yes,8400000,23000000,14,455, Rejected
 Graduate, Yes,400000,700000,10,787, Approved
 Graduate, Yes,5600000,15800000,16,748, Approved
 Not Graduate, Yes,8200000,27100000,4,643, Approved
 Not Graduate, Yes,1600000,3400000,8,867, Approved
 Not Graduate, No,1800000,5600000,20,860, Approved
 Not Graduate, Yes,6500000,23900000,2,507, Approved
 Graduate, Yes,3100000,11500000,4,871, Approved
 Not Graduate, No,3100000,9800000,12,820, Approved
 Graduate, Yes,5300000,14500000,4,352, Rejected
 Graduate, No,1100000,4000000,14,887, Approved
 Graduate, Yes,6000000,13400000,12,731, Approved
 Graduate, Yes,6100000,14600000,18,645, Approved
 Not Graduate, No,4100000,14100000,10,300, Rejected
 Graduate, Yes,7000000,26200000,12,896, Approved
 Not Graduate, Yes,8900000,27700000,6,372, Rejected
 Graduate, No,4800000,12000000,6,441, Rejected
 Graduate, Yes,7400000,18300000,4,348, Rejected
 Graduate, No,9700000,27500000,18,343, Rejected
 Graduate, Yes,9700000,22600000,16,346, Rejected
 Not Graduate, Yes,4500000,11500000,14,509, Rejected
 Graduate, No,8800000,29300000,10,560, Approved
 Graduate, Yes,3000000,7500000,6,881, Approved
 Graduate, No,1300000,3000000,20,540, Rejected
 Graduate, No,5000000,12700000,14,865, Approved
 Graduate, Yes,1000000,2300000,12,317, Rejected
 Not Graduate, Yes,3300000,11300000,20,559, Approved
 Not Graduate, No,6500000,23900000,18,457, Rejected
 Not Graduate, No,4100000,12800000,8,780, Approved
 Graduate, No,9200000,29700000,10,607, Approved
 Not Graduate, Yes,1600000,6400000,4,787, Approved
 Graduate, No,5500000,18600000,12,569, Approved
 Graduate, Yes,9600000,20100000,16,427, Rejected
 Graduate, No,7000000,27800000,16,640, Approved
 Not Graduate, No,4000000,8100000,16,312, Rejected
 Not Graduate, Yes,8100000,30900000,12,464, Rejected
 Not Graduate, Yes,6600000,22800000,8,490, Rejected
 Graduate, No,4100000,10200000,12,431, Rejected
 Graduate, No,6600000,24800000,4,500, Approved
 Graduate, No,5100000,12200000,14,511, Rejected
 Graduate, No,8200000,25200000,18,691, Approved
 Not Graduate, Yes,9500000,24400000,14,696, Approved
 Not Graduate, Yes,7600000,27600000,2,437, Approved
 Not Graduate, Yes,8400000,20800000,12,335, Rejected
 Graduate, No,7600000,25100000,4,671, Approved
 Not Graduate, Yes,1400000,3700000,12,621, Approved
 Not Graduate, Yes,2700000,6800000,10,455, Rejected
 Graduate, Yes,200000,500000,10,856, Approved
 Graduate, No,600000,2100000,16,892, Approved
 Graduate, No,5200000,12900000,16,819, Approved
 Not Graduate, Yes,5100000,11600000,10,308, Rejected
 Graduate, Yes,9200000,18600000,2,889, Approved
 Not Graduate, No,6500000,23200000,18,713, Approved
 Graduate, No,8500000,21000000,6,665, Approved
 Not Graduate, No,2000000,6000000,12,837, Approved
 Not Graduate, Yes,7500000,18000000,20,395, Rejected
 Graduate, Yes,7500000,28900000,10,632, Approved
 Not Graduate, No,2000000,4300000,16,497, Rejected
 Graduate, Yes,1400000,2700000,14,694, Approved
 Not Graduate, Yes,1700000,5600000,2,882, Approved
 Graduate, Yes,5300000,14900000,6,504, Rejected
 Not Graduate, No,8900000,30100000,2,747, Approved
 Graduate, No,9700000,35300000,4,462, Approved
 Graduate, No,9000000,25900000,4,538, Rejected
 Not Graduate, Yes,8500000,30900000,6,664, Approved
 Not Graduate, No,3500000,10900000,4,524, Approved
 Not Graduate, No,500000,1400000,6,464, Rejected
 Graduate, No,8900000,19100000,6,807, Approved
 Not Graduate, Yes,7800000,27200000,18,622, Approved
 Not Graduate, Yes,9800000,27800000,6,827, Approved
 Graduate, No,5200000,19000000,14,687, Approved
 Graduate, No,7400000,19400000,16,835, Approved
 Graduate, Yes,1200000,3300000,6,772, Approved
 Not Graduate, Yes,1000000,3200000,2,710, Approved
 Graduate, Yes,9500000,32500000,14,581, Approved
